offset	total	subst	del	ins
0	2355564	0	0	0	
1	2355564	0	0	0	
2	2355564	0	0	0	
3	2355564	0	0	0	
4	2355564	80	0	0	
5	2355564	61	0	0	
6	2355564	42	1	0	
7	2355564	57	1	0	
8	2355564	74	314	148	
9	2355564	72	455	106	
10	2355564	113	514	131	
11	2355564	105	568	118	
12	2355564	124	606	190	
13	2355564	137	644	190	
14	2355564	121	653	204	
15	2355564	125	649	242	
16	2355564	146	624	218	
17	2355564	136	676	233	
18	2355564	166	705	195	
19	2355564	181	690	235	
20	2355564	220	706	262	
21	2355564	213	732	262	
22	2355564	233	779	257	
23	2355564	232	700	298	
24	2355564	227	689	331	
25	2355564	209	717	283	
26	2355564	162	724	272	
27	2355564	136	709	312	
28	2355564	114	723	280	
29	2355564	89	751	279	
30	2351017	116	809	320	
31	2346470	75	790	294	
32	2341975	80	874	325	
33	2337332	84	864	315	
34	2332566	86	820	329	
35	2327891	69	878	328	
36	2323127	82	942	399	
37	2318262	68	822	340	
38	2313353	64	890	299	
39	2308240	74	925	345	
40	2303031	74	857	369	
41	2297781	80	931	322	
42	2292312	90	846	336	
43	2286820	74	875	365	
44	2281120	79	893	319	
45	2275327	75	827	389	
46	2269590	69	843	376	
47	2263908	59	934	332	
48	2258144	74	898	382	
49	2252255	79	857	351	
50	2246281	62	945	334	
51	2240363	77	883	339	
52	2234492	65	895	356	
53	2228741	79	876	326	
54	2222903	85	916	363	
55	2217116	79	900	351	
56	2211199	94	913	306	
57	2205334	66	893	319	
58	2199622	93	930	325	
59	2193988	79	886	352	
60	2188197	65	894	318	
61	2182498	86	872	339	
62	2176957	83	885	316	
63	2171385	86	861	298	
64	2165861	68	882	314	
65	2160425	94	950	327	
66	2154950	75	871	316	
67	2149564	80	969	344	
68	2144237	104	955	347	
69	2138998	80	905	340	
70	2133701	75	799	346	
71	2128426	93	936	316	
72	2123192	89	900	359	
73	2117990	78	908	343	
74	2112708	89	900	307	
75	2107605	71	912	293	
76	2102524	93	900	341	
77	2097508	72	860	362	
78	2092529	93	864	302	
79	2087515	96	934	312	
80	2082530	88	880	297	
81	2077593	86	921	313	
82	2072583	66	864	294	
83	2067720	78	839	310	
84	2062898	87	854	304	
85	2058015	92	864	334	
86	2053287	78	913	330	
87	2048352	77	872	313	
88	2043559	85	895	311	
89	2038774	79	870	289	
90	2033899	86	888	336	
91	2028885	57	892	329	
92	2023988	101	837	310	
93	2018871	83	899	306	
94	2013739	97	895	302	
95	2008641	96	919	322	
96	2003658	66	913	285	
97	1998351	82	892	334	
98	1993193	98	857	319	
99	1987884	83	843	321	
100	1982671	103	880	326	
101	1977369	73	853	278	
102	1971879	85	813	325	
103	1966442	83	859	316	
104	1960820	92	923	307	
105	1955323	72	890	331	
106	1949797	91	885	308	
107	1944220	89	866	281	
108	1938490	114	853	289	
109	1932723	87	876	322	
110	1927005	98	880	312	
111	1921225	91	847	325	
112	1915362	105	845	315	
113	1909474	80	819	266	
114	1903569	81	897	288	
115	1897622	102	894	304	
116	1891618	77	914	313	
117	1885546	86	801	324	
118	1879466	79	889	314	
119	1873535	90	870	283	
120	1867454	115	858	300	
121	1861385	82	916	286	
122	1855253	108	889	323	
123	1849088	116	840	288	
124	1842843	101	851	313	
125	1836825	85	892	297	
126	1830832	87	837	319	
127	1824661	109	856	372	
128	1818493	88	841	286	
129	1812423	93	834	310	
130	1806267	106	922	312	
131	1800199	95	819	304	
132	1794102	108	842	326	
133	1788044	99	839	305	
134	1781967	112	908	297	
135	1775699	103	791	305	
136	1769602	107	875	295	
137	1763437	93	916	300	
138	1757346	116	812	307	
139	1751176	109	768	309	
140	1744882	116	851	315	
141	1738802	95	851	308	
142	1732724	129	818	299	
143	1726634	103	793	324	
144	1720418	112	832	336	
145	1714185	107	840	338	
146	1708135	120	829	346	
147	1702030	95	829	361	
148	1695945	104	809	340	
149	1689885	114	832	340	
150	1683632	98	823	320	
151	1677308	113	744	316	
152	1671212	101	842	306	
153	1664969	114	822	324	
154	1658690	114	822	312	
155	1652562	119	807	287	
156	1646333	121	864	326	
157	1640086	101	782	332	
158	1633640	96	819	354	
159	1627229	117	796	302	
160	1620563	101	848	317	
161	1614082	88	851	347	
162	1607444	105	791	306	
163	1600854	128	807	298	
164	1594164	118	812	318	
165	1587419	102	777	317	
166	1580677	119	791	317	
167	1574060	99	771	310	
168	1567358	99	778	338	
169	1560460	109	834	337	
170	1553729	106	804	315	
171	1546667	120	811	306	
172	1539671	111	765	334	
173	1532756	126	770	336	
174	1525718	119	831	312	
175	1518771	111	808	313	
176	1511821	109	798	294	
177	1504744	127	782	338	
178	1497736	127	748	323	
179	1490582	123	803	309	
180	1483538	122	779	312	
181	1476437	117	795	310	
182	1469247	116	755	293	
183	1462076	110	752	307	
184	1455005	111	747	337	
185	1447811	102	757	307	
186	1440770	121	781	290	
187	1433745	116	728	312	
188	1426731	107	713	307	
189	1419652	116	762	325	
190	1412478	103	755	287	
191	1405336	109	780	311	
192	1398212	114	733	327	
193	1391106	104	757	326	
194	1383963	132	776	343	
195	1376740	129	740	312	
196	1369445	126	739	310	
197	1362313	127	727	338	
198	1355075	147	726	304	
199	1347821	124	730	317	
200	1340716	120	683	311	
201	1333465	127	745	318	
202	1326340	130	705	281	
203	1319274	130	691	283	
204	1312132	138	661	328	
205	1304991	136	717	314	
206	1297895	150	655	301	
207	1290589	137	717	306	
208	1283470	135	685	337	
209	1276284	133	672	308	
210	1269014	111	694	308	
211	1261731	130	698	317	
212	1254597	116	706	297	
213	1247150	129	658	304	
214	1239641	125	628	299	
215	1232024	124	642	275	
216	1224265	120	645	300	
217	1216693	161	627	318	
218	1208961	122	616	294	
219	1201315	134	623	296	
220	1193404	151	588	299	
221	1185193	117	666	286	
222	1177121	124	617	299	
223	1168557	123	655	301	
224	1160031	128	589	298	
225	1151214	127	574	311	
226	1142455	110	615	276	
227	1133359	122	596	287	
