offset	total	subst	del	ins
0	2319428	0	0	0	
1	2319428	0	0	0	
2	2319428	0	0	0	
3	2319428	0	0	0	
4	2319428	414	0	0	
5	2319428	402	1	0	
6	2319428	481	8	0	
7	2319428	525	13	0	
8	2319428	598	1846	2525	
9	2319428	571	2204	2313	
10	2319428	659	2574	2953	
11	2319428	683	2670	3506	
12	2319428	691	2838	3883	
13	2319428	749	2949	4047	
14	2319428	652	3172	4360	
15	2319428	737	2986	4249	
16	2319428	816	3141	4404	
17	2319428	814	3146	4433	
18	2319428	922	3192	4621	
19	2319428	924	3182	4745	
20	2319428	1029	3063	4840	
21	2319428	974	2983	4838	
22	2319428	978	3022	4983	
23	2319428	968	2934	5110	
24	2319428	930	2873	5208	
25	2319428	924	2891	5131	
26	2319428	895	2913	5104	
27	2319428	786	2727	5261	
28	2319428	757	2806	5111	
29	2319428	670	2929	5365	
30	2316945	683	3263	5855	
31	2314440	662	3239	5899	
32	2311833	625	3504	5959	
33	2309260	619	3397	6071	
34	2306593	662	3477	5990	
35	2303833	708	3420	6061	
36	2301070	644	3558	6322	
37	2298113	676	3587	6304	
38	2295137	682	3491	6272	
39	2291992	643	3616	6413	
40	2288666	679	3597	6486	
41	2285101	705	3551	6567	
42	2281497	704	3591	6628	
43	2277639	731	3604	6797	
44	2273644	686	3562	6900	
45	2269432	727	3587	7036	
46	2265199	720	3549	7219	
47	2260818	742	3605	7325	
48	2256404	727	3594	7339	
49	2251878	706	3611	7501	
50	2247142	757	3760	7310	
51	2242397	716	3828	7535	
52	2237504	679	3725	7557	
53	2232602	755	3701	7462	
54	2227805	761	3743	7456	
55	2222815	750	3910	7560	
56	2217986	817	3882	7574	
57	2213019	710	3787	7529	
58	2207931	763	3906	7447	
59	2202906	761	3797	7477	
60	2197793	797	3797	7336	
61	2192803	769	3924	7313	
62	2187561	825	3872	7330	
63	2182541	780	3957	7194	
64	2177585	806	3816	7439	
65	2172574	810	3932	7340	
66	2167494	783	3884	7407	
67	2162452	789	4006	7629	
68	2157425	838	3843	7564	
69	2152349	803	3921	7454	
70	2147416	806	3797	7576	
71	2142499	830	3861	7671	
72	2137518	846	3938	7374	
73	2132606	871	3927	7646	
74	2127645	819	3810	7686	
75	2122704	808	3859	7624	
76	2117870	866	4001	7575	
77	2113016	822	3965	7568	
78	2108179	866	4063	7558	
79	2103384	847	4070	7576	
80	2098720	797	3907	7693	
81	2094056	907	3989	7577	
82	2089324	796	3870	7722	
83	2084628	804	3880	7755	
84	2079937	870	3974	7841	
85	2075283	817	4095	7677	
86	2070685	889	4024	7838	
87	2066107	844	4007	7918	
88	2061432	813	4024	7802	
89	2056730	871	4121	7850	
90	2052068	918	3989	8093	
91	2047452	965	3994	8169	
92	2042733	843	4044	8072	
93	2037978	909	4071	7970	
94	2033084	901	4082	8048	
95	2028299	928	4091	8110	
96	2023361	903	4032	8082	
97	2018496	951	4018	8145	
98	2013624	940	4133	8149	
99	2008679	961	4129	8060	
100	2003616	934	4191	8001	
101	1998528	938	4219	8309	
102	1993309	954	4102	8265	
103	1988147	937	4207	8233	
104	1982938	1018	4214	8422	
105	1977612	965	4209	8158	
106	1972259	983	4318	8178	
107	1966824	948	4288	8204	
108	1961420	979	4324	8342	
109	1955877	963	4372	8148	
110	1950365	947	4362	8305	
111	1944842	966	4317	8435	
112	1939155	1012	4305	8443	
113	1933348	971	4329	8568	
114	1927536	951	4370	8635	
115	1921839	1088	4507	8672	
116	1916073	1025	4383	8738	
117	1910239	1019	4416	8784	
118	1904488	1067	4405	8772	
119	1898574	1104	4485	8728	
120	1892420	1055	4463	8819	
121	1886523	1075	4469	8599	
122	1880452	1020	4412	8933	
123	1874475	1120	4411	9008	
124	1868545	1075	4545	8898	
125	1862455	1060	4563	9004	
126	1856256	1060	4691	8911	
127	1850325	1137	4602	8893	
128	1844231	1091	4607	8696	
129	1838137	1089	4576	8821	
130	1832154	1128	4584	8775	
131	1826034	1100	4719	8861	
132	1819923	1109	4612	9013	
133	1813965	1181	4677	9030	
134	1807890	1122	4687	9096	
135	1801899	1139	4752	8875	
136	1795977	1121	4735	8816	
137	1789927	1137	4764	8995	
138	1783955	1119	4744	9134	
139	1777888	1128	4719	9052	
140	1771832	1084	4829	9228	
141	1765656	1138	4724	8841	
142	1759702	1145	4660	9318	
143	1753726	1186	4774	9428	
144	1747687	1197	4810	9350	
145	1741714	1224	4752	9439	
146	1735774	1217	4782	9423	
147	1729759	1244	4773	9435	
148	1723841	1213	4880	9416	
149	1717900	1183	4688	9612	
150	1711830	1220	4836	9573	
151	1705815	1220	4779	9616	
152	1699651	1270	4738	9660	
153	1693500	1252	4799	9733	
154	1687545	1239	4908	9495	
155	1681422	1197	4818	9490	
156	1675275	1276	4718	9456	
157	1669155	1274	4823	9573	
158	1662981	1250	4843	9523	
159	1656800	1267	4778	9501	
160	1650594	1318	4817	9648	
161	1644191	1270	4958	9558	
162	1637735	1290	4807	9594	
163	1631219	1359	4987	9357	
164	1624676	1303	4936	9503	
165	1618238	1305	4829	9329	
166	1611783	1329	5049	9404	
167	1605294	1309	4944	9630	
168	1598807	1343	4991	9525	
169	1592193	1289	5065	9442	
170	1585466	1404	5161	9516	
171	1578786	1338	5027	9590	
172	1571988	1293	5083	9489	
173	1565136	1340	5155	9245	
174	1558260	1372	5083	9351	
175	1551392	1333	5145	9565	
176	1544603	1390	5169	9233	
177	1537782	1329	5182	9363	
178	1530819	1354	5088	9585	
179	1523867	1331	5259	9552	
180	1516807	1417	5368	9399	
181	1509908	1356	5187	9396	
182	1502904	1438	5257	9302	
183	1495751	1317	5373	9314	
184	1488802	1434	5280	9342	
185	1481744	1319	5238	9471	
186	1474671	1375	5236	9417	
187	1467598	1447	5183	9412	
188	1460472	1385	5272	9296	
189	1453584	1447	5249	9403	
190	1446582	1437	5187	9380	
191	1439506	1422	5426	9463	
192	1432502	1419	5281	9230	
193	1425436	1399	5243	9416	
194	1418361	1508	5263	9272	
195	1411324	1456	5371	9376	
196	1404204	1382	5238	9524	
197	1397044	1447	5323	9544	
198	1389988	1481	5128	9183	
199	1382951	1403	5283	9469	
200	1375820	1414	5291	9481	
201	1368741	1573	5339	9351	
202	1361656	1463	5237	9368	
203	1354638	1433	5256	9423	
204	1347505	1505	5172	9448	
205	1340411	1502	5269	9483	
206	1333504	1505	5243	9293	
207	1326358	1484	5217	9459	
208	1319383	1560	5273	9251	
209	1312325	1465	5360	9296	
210	1305220	1542	5218	9279	
211	1298213	1509	5156	9332	
212	1291188	1545	5247	9370	
213	1284070	1513	5216	9419	
214	1276818	1541	5200	9283	
215	1269407	1588	5264	9196	
216	1261985	1520	5211	9242	
217	1254515	1566	5109	9217	
218	1247020	1577	5161	9164	
219	1239527	1509	5141	8947	
220	1231916	1515	5048	8956	
221	1224254	1614	5091	9095	
