offset	total	subst	del	ins
0	4883088	0	0	0	
1	4883088	0	0	0	
2	4883088	0	0	0	
3	4883088	1	0	0	
4	4883088	148	0	0	
5	4883088	135	0	0	
6	4883088	92	1	0	
7	4883088	77	3	0	
8	4883088	82	464	464	
9	4883088	103	647	370	
10	4883088	88	758	396	
11	4883088	98	878	384	
12	4883088	111	950	472	
13	4883088	92	925	559	
14	4883088	123	1042	714	
15	4883088	119	1096	686	
16	4883088	118	966	726	
17	4883088	107	1064	801	
18	4883088	103	1108	725	
19	4883088	111	1205	888	
20	4883088	123	1261	922	
21	4883088	104	1329	1089	
22	4883088	136	1348	1245	
23	4883088	130	1488	1333	
24	4883088	118	1579	1519	
25	4883088	166	1568	1607	
26	4883088	128	1631	1750	
27	4883088	182	1651	1883	
28	4883088	176	1633	2057	
29	4883088	181	1749	2094	
30	4877186	177	1819	2250	
31	4871388	196	1965	2158	
32	4865519	203	1878	2114	
33	4859664	215	2017	2237	
34	4853796	238	1934	2102	
35	4847845	197	2002	2168	
36	4841929	245	2055	2178	
37	4835834	195	2023	2175	
38	4829807	266	2110	2185	
39	4823568	243	2031	2164	
40	4817237	266	2064	2111	
41	4810802	222	2095	2113	
42	4804345	263	2064	2092	
43	4797890	251	2131	2211	
44	4791301	271	2079	2109	
45	4784711	268	2092	2218	
46	4778186	260	2028	2219	
47	4771580	245	2170	2123	
48	4764966	237	2145	2261	
49	4758425	218	2087	2222	
50	4751773	235	2215	2180	
51	4745186	259	2107	2337	
52	4738505	255	2080	2223	
53	4732099	287	2049	2191	
54	4725450	259	2227	2338	
55	4719058	279	2126	2372	
56	4712641	271	2152	2366	
57	4706450	259	2147	2408	
58	4699850	262	2164	2403	
59	4693521	254	2326	2448	
60	4687249	245	2149	2310	
61	4680876	268	2181	2459	
62	4674605	292	2194	2383	
63	4668340	279	2140	2427	
64	4662275	292	2203	2475	
65	4656129	283	2255	2361	
66	4649946	275	2064	2554	
67	4643835	235	2196	2414	
68	4637826	276	2280	2428	
69	4631897	299	2154	2438	
70	4625795	274	2226	2387	
71	4619805	275	2262	2358	
72	4613842	263	2163	2312	
73	4608055	303	2156	2441	
74	4602275	269	2255	2344	
75	4596362	280	2261	2324	
76	4590778	266	2299	2403	
77	4584920	256	2204	2394	
78	4579105	275	2267	2318	
79	4573407	272	2173	2379	
80	4567832	291	2141	2297	
81	4562183	277	2153	2337	
82	4556593	275	2254	2230	
83	4551047	244	2154	2322	
84	4545317	251	2150	2265	
85	4539612	269	2264	2401	
86	4533822	273	2099	2273	
87	4527941	283	2246	2373	
88	4522186	288	2303	2362	
89	4516409	301	2283	2208	
90	4510509	286	2298	2286	
91	4504537	331	2249	2270	
92	4498718	290	2279	2236	
93	4492665	288	2327	2284	
94	4486651	292	2138	2192	
95	4480563	280	2298	2163	
96	4474295	261	2279	2268	
97	4467981	271	2258	2216	
98	4461779	291	2158	2266	
99	4455329	259	2227	2144	
100	4449042	270	2196	2375	
101	4442590	310	2260	2278	
102	4436097	304	2265	2243	
103	4429510	282	2272	2293	
104	4422854	271	2216	2224	
105	4416105	293	2205	2229	
106	4409411	302	2335	2277	
107	4402604	276	2277	2223	
108	4395765	296	2306	2268	
109	4389064	283	2328	2297	
110	4382075	270	2332	2231	
111	4375073	286	2252	2258	
112	4368004	284	2325	2295	
113	4360990	296	2190	2265	
114	4353847	285	2243	2231	
115	4346841	289	2288	2315	
116	4339788	286	2232	2246	
117	4332739	302	2241	2356	
118	4325551	281	2341	2242	
119	4318383	306	2237	2235	
120	4311201	325	2238	2189	
121	4303939	282	2271	2239	
122	4296727	305	2211	2253	
123	4289635	281	2151	2220	
124	4282373	313	2310	2204	
