offset	total	subst	del	ins
0	4829424	0	0	0	
1	4829424	0	0	0	
2	4829424	0	0	0	
3	4829424	0	0	0	
4	4829424	662	0	0	
5	4829424	781	0	0	
6	4829424	816	10	0	
7	4829424	974	24	0	
8	4829424	888	3919	6325	
9	4829424	827	4878	6510	
10	4829424	977	5622	7654	
11	4829424	981	6028	8970	
12	4829424	1028	6378	10516	
13	4829424	1053	6828	11400	
14	4829424	1105	6986	11442	
15	4829424	1170	7050	11551	
16	4829424	1233	7227	11763	
17	4829424	1283	7179	11823	
18	4829424	1255	7140	11868	
19	4829424	1253	7122	11812	
20	4829424	1292	7174	11920	
21	4829424	1300	6859	11725	
22	4829424	1245	6806	11881	
23	4829424	1318	6917	11515	
24	4829424	1365	6792	11756	
25	4829424	1376	6757	11269	
26	4829424	1327	6856	11264	
27	4829424	1324	6697	11146	
28	4829424	1322	6783	11009	
29	4829424	1392	6916	10789	
30	4826776	1465	7437	11101	
31	4823964	1450	7607	10955	
32	4821079	1439	7598	10781	
33	4818048	1465	7612	10716	
34	4814978	1450	7646	10711	
35	4811789	1398	7991	10685	
36	4808665	1397	7833	10565	
37	4805420	1501	7838	10665	
38	4802011	1491	7837	10750	
39	4798393	1504	7919	10643	
40	4794388	1459	8049	10628	
41	4790319	1510	7879	10725	
42	4786026	1578	7837	10624	
43	4781746	1572	7905	10882	
44	4777225	1512	8000	10792	
45	4772476	1615	7924	10949	
46	4767689	1562	8031	10864	
47	4762812	1575	8231	10945	
48	4757942	1601	8218	11179	
49	4752908	1602	8279	11217	
50	4747749	1640	8017	11183	
51	4742421	1594	8196	11421	
52	4737209	1609	8064	11528	
53	4731961	1596	8025	11562	
54	4726605	1606	8224	12015	
55	4721195	1684	8149	12159	
56	4715883	1617	8187	12085	
57	4710494	1635	8078	12471	
58	4705136	1646	8267	12777	
59	4699513	1689	8112	12398	
60	4694074	1656	8014	12967	
61	4688420	1708	8006	12707	
62	4682925	1659	8139	12969	
63	4677390	1693	8020	12968	
64	4671808	1682	8128	13172	
65	4666256	1760	8196	13206	
66	4660783	1723	8077	13388	
67	4655294	1777	8147	13134	
68	4649743	1718	8096	13276	
69	4644138	1837	8179	13426	
70	4638566	1704	8287	13368	
71	4633033	1814	8427	13387	
72	4627459	1800	8319	13470	
73	4622076	1830	8281	13590	
74	4616619	1801	8163	13657	
75	4611158	1838	8346	13535	
76	4605843	1791	8383	13813	
77	4600526	1744	8324	13605	
78	4595161	1821	8527	13737	
79	4589837	1797	8206	13996	
80	4584546	1751	8311	13853	
81	4579248	1811	8280	13936	
82	4573797	1823	8367	14217	
83	4568466	1833	8329	13948	
84	4563253	1869	8265	13884	
85	4557969	1850	8457	14284	
86	4552635	1841	8326	14196	
87	4547249	1897	8442	14293	
88	4541776	1948	8455	14345	
89	4536306	1912	8411	14413	
90	4530865	1881	8617	14213	
91	4525382	1886	8835	14224	
92	4519760	1923	8679	13997	
93	4514072	1898	8738	14577	
94	4508371	1937	8632	14252	
95	4502756	1874	8661	14439	
96	4497010	1991	8667	14255	
97	4491263	1912	8811	14480	
98	4485341	1788	8793	14179	
99	4479248	1973	8716	14322	
100	4473179	1885	8896	14322	
101	4467026	1924	8779	14367	
102	4460962	1880	8731	14190	
103	4454615	1862	9000	14519	
104	4448319	1957	8901	14604	
105	4441951	1975	9010	14460	
106	4435705	1957	8943	14683	
107	4429275	1978	8982	14761	
108	4422852	1905	9120	14618	
109	4416265	1980	8895	14870	
110	4409602	1929	8864	14855	
111	4402740	1978	8911	14808	
112	4396157	1901	8736	15177	
113	4389327	2016	8751	15052	
114	4382318	2045	8963	15097	
115	4375480	1945	8798	15429	
116	4368460	1967	8866	15403	
117	4361473	2017	8857	15451	
118	4354515	1942	8995	15227	
119	4347415	1987	9137	15392	
120	4340502	2040	9042	15356	
121	4333461	1949	8902	15226	
122	4326342	2008	8732	15436	
123	4319237	1927	8957	15440	
124	4312143	2086	9027	15571	
125	4305023	1966	8896	15657	
126	4298057	1994	9104	15462	
127	4290867	2081	9230	15754	
128	4283761	2003	9007	15500	
129	4276716	1964	9206	15418	
130	4269604	2025	9163	15416	
131	4262451	2094	9098	15598	
132	4255327	2139	9218	15468	
133	4247996	2081	9174	15646	
134	4240857	2137	9264	15685	
135	4233509	2070	9134	15893	
136	4226351	2100	9368	15787	
137	4219136	2075	9064	15669	
138	4211952	2179	9153	15463	
139	4204539	2124	9243	15770	
140	4197119	2130	9265	15953	
141	4189771	2093	9096	15891	
142	4182357	2108	9260	15855	
143	4174975	2182	9271	15792	
144	4167527	2116	9286	16242	
145	4160055	2155	9249	16155	
146	4152422	2183	9468	16192	
147	4144676	2127	9453	16306	
148	4136968	2156	9377	16556	
149	4129195	2151	9241	16636	
150	4121321	2147	9425	16476	
151	4113437	2150	9397	16567	
152	4105509	2187	9525	16890	
153	4097465	2284	9452	16926	
154	4089231	2264	9295	16877	
155	4080910	2270	9535	16748	
156	4072597	2306	9449	16875	
157	4064147	2220	9623	16939	
158	4055571	2277	9526	17023	
159	4046789	2234	9581	16908	
160	4037973	2172	9527	17435	
161	4028954	2328	9536	17213	
162	4019861	2236	9590	17068	
163	4010754	2348	9516	17534	
164	4001389	2318	9576	17424	
165	3991822	2303	9693	17646	
166	3982310	2275	9699	17311	
167	3972430	2226	9713	17441	
168	3962500	2381	9894	17343	
169	3952478	2325	9918	17418	
170	3942421	2325	9949	17219	
171	3932256	2374	9872	17361	
172	3922159	2327	9980	17242	
173	3911715	2375	10143	17129	
174	3901055	2438	9985	17040	
175	3890243	2315	10240	17313	
176	3879417	2422	10247	17231	
177	3868314	2387	10324	17188	
178	3857225	2373	10494	17031	
179	3846237	2345	10525	17103	
180	3834971	2426	10600	16933	
181	3823578	2314	10521	17125	
182	3812111	2366	10468	17029	
183	3800834	2415	10824	16814	
184	3789405	2389	10552	16644	
185	3778002	2376	10593	16836	
186	3766285	2345	10407	16657	
187	3754387	2377	10516	16944	
188	3742577	2384	10569	16459	
189	3730690	2439	10751	16737	
190	3718651	2396	10771	16627	
191	3706601	2274	10551	16789	
192	3694670	2490	10707	16850	
193	3682478	2445	10721	16676	
194	3670348	2375	10616	16764	
195	3658231	2367	10548	16612	
196	3645837	2455	10534	16863	
197	3633616	2395	10509	16829	
198	3621113	2484	10735	16909	
199	3608690	2489	10492	16853	
200	3596335	2408	10503	16739	
201	3583743	2502	10563	17090	
202	3571240	2438	10526	16992	
203	3558842	2505	10633	16783	
204	3546254	2334	10366	16901	
205	3533709	2433	10356	16944	
206	3520990	2429	10532	16826	
207	3508510	2472	10513	16882	
208	3495715	2505	10155	16948	
209	3483000	2426	10316	16958	
210	3470383	2394	10180	16944	
211	3457521	2477	10501	17011	
212	3444880	2393	10277	17145	
213	3431961	2473	10355	17133	
214	3419269	2398	10280	17007	
215	3406279	2391	10292	16883	
216	3393542	2374	10389	16916	
217	3380947	2412	10274	17091	
218	3368122	2454	10367	16958	
219	3355281	2465	10229	16789	
220	3342553	2366	10359	16946	
221	3329946	2453	10400	16748	
222	3317232	2411	10364	16951	
223	3304283	2364	10370	16720	
224	3291457	2409	10287	16879	
225	3278667	2480	10413	16702	
226	3265927	2316	10317	16442	
227	3253382	2463	10326	16530	
228	3240772	2341	10414	16604	
229	3228000	2403	10621	16474	
230	3215240	2457	10359	16703	
231	3202586	2449	10566	16544	
232	3189912	2494	10385	16409	
233	3177224	2390	10445	16246	
234	3164360	2506	10570	16552	
235	3151866	2354	10469	16347	
236	3139127	2444	10366	16184	
237	3126701	2350	10502	16379	
238	3114252	2430	10679	16196	
239	3101693	2408	10342	16298	
240	3089433	2423	10317	16285	
241	3077169	2451	10329	16084	
242	3064872	2436	10387	16319	
243	3052495	2442	10303	16146	
244	3040338	2406	10369	16319	
245	3028282	2549	10370	16249	
246	3016144	2372	10307	16095	
247	3004032	2401	10157	16077	
248	2991801	2508	10272	16162	
249	2979485	2384	10236	16197	
250	2967425	2443	10415	16222	
251	2955584	2383	10381	16439	
252	2943553	2482	10146	16131	
253	2931404	2405	10375	16016	
254	2919507	2381	10131	16174	
255	2907513	2350	10239	16092	
256	2895520	2444	10277	16141	
257	2883702	2398	10218	16333	
258	2871814	2452	10231	16178	
259	2860128	2463	10175	16116	
260	2848549	2402	10111	16010	
261	2836953	2477	10177	16138	
262	2825332	2376	10203	16178	
263	2813674	2385	10057	16299	
264	2802409	2394	10105	15953	
265	2790930	2435	10218	16201	
266	2779607	2470	10098	16161	
267	2768053	2444	10022	16248	
268	2756753	2444	10206	16103	
269	2745358	2434	10119	16190	
270	2734027	2485	10204	16028	
271	2722831	2415	10107	15969	
272	2711471	2483	10405	15984	
273	2700236	2470	10029	16190	
274	2689181	2395	10117	15750	
275	2677841	2423	10072	16233	
276	2666595	2368	10175	15935	
277	2655403	2365	10122	16053	
278	2644077	2474	10215	15801	
279	2632569	2403	10247	15654	
280	2621413	2482	10194	15816	
281	2610309	2550	10215	15672	
282	2599248	2395	10382	15698	
283	2588128	2457	10478	15611	
284	2576985	2486	10200	15847	
285	2565786	2490	10188	15539	
286	2554430	2463	10252	15736	
287	2543230	2416	10071	15644	
288	2532184	2510	10240	15663	
289	2521082	2524	10264	15807	
290	2509916	2507	10244	15774	
291	2498921	2538	10082	15631	
292	2487828	2543	10092	15661	
293	2476761	2567	10286	15660	
294	2465668	2405	10225	15499	
295	2454541	2568	10032	15423	
296	2443364	2490	9952	15604	
297	2432159	2439	10037	15525	
298	2420744	2496	9949	15591	
299	2409441	2422	10135	15449	
300	2398178	2439	10082	15527	
301	2386999	2386	10019	15277	
302	2375766	2556	10178	15151	
303	2364675	2419	9971	15627	
304	2353272	2464	9946	15139	
305	2341989	2440	9750	15268	
306	2330827	2485	9806	15368	
307	2319621	2502	9933	15511	
308	2308290	2465	9827	15207	
309	2297186	2476	10035	15171	
310	2285749	2501	9810	15017	
311	2274461	2566	9792	15282	
312	2263209	2503	9611	15199	
313	2251660	2379	9770	15067	
314	2240504	2419	9954	14968	
315	2229227	2481	9766	14949	
316	2218004	2365	9587	14813	
317	2206467	2424	9680	14690	
318	2194969	2523	9759	14642	
319	2183294	2522	9534	14786	
320	2171423	2428	9512	14815	
321	2159738	2457	9606	14651	
322	2147858	2445	9599	14727	
323	2135790	2436	9282	14535	
324	2123666	2344	9448	14557	
325	2111466	2418	9460	14611	
326	2099044	2423	9419	14601	
327	2086740	2391	9247	14335	
328	2074233	2316	9254	14129	
329	2061341	2404	9476	14258	
330	2048947	2370	9247	14638	
331	2036192	2370	9198	14070	
332	2023480	2325	9076	14023	
333	2010585	2264	9114	14167	
334	1997583	2374	9026	14096	
335	1984335	2274	9007	13799	
336	1971046	2334	8924	14071	
337	1957762	2361	9092	13835	
338	1944274	2280	9021	13707	
339	1930658	2303	8747	13722	
340	1916777	2245	8716	13497	
341	1902672	2270	8750	13496	
342	1888461	2204	8787	13458	
343	1873982	2192	8463	13436	
344	1859373	2179	8622	13407	
345	1844767	2099	8481	13300	
346	1829952	2074	8405	13193	
347	1814923	2063	8525	13232	
348	1799737	2133	8418	12897	
349	1784095	2042	8128	12886	
350	1768362	2123	8156	12751	
351	1752218	1999	8171	12667	
352	1736061	2028	7878	12503	
353	1719621	2006	7855	12448	
354	1702856	1971	7919	12327	
355	1685952	1931	7607	12285	
356	1668582	1942	7773	12170	
357	1651117	1915	7406	12186	
358	1633210	1931	7448	11878	
359	1614821	1918	7331	11825	
360	1596395	1900	7155	11829	
361	1577243	1830	7147	11587	
362	1558119	1723	7052	11234	
363	1538518	1778	6794	11444	
364	1518614	1741	6838	11078	
365	1498219	1743	6664	10872	
366	1477817	1758	6615	10693	
367	1457238	1623	6552	10608	
368	1436216	1638	6349	10393	
369	1414509	1639	5998	10296	
370	1392287	1632	6096	9968	
371	1369864	1566	5980	9962	
372	1346810	1480	5747	9868	
373	1323509	1501	5725	9407	
374	1299865	1535	5558	9186	
375	1275798	1441	5204	9184	
376	1251450	1345	5144	8960	
377	1226826	1323	5006	8696	
378	1201257	1309	4907	8358	
379	1175570	1225	4621	8147	
380	1149092	1185	4480	7925	
381	1122387	1172	4280	7719	
382	1095109	1101	4051	7441	
383	1066944	1085	4007	7352	
384	1038968	1050	3930	7179	
385	1010286	1040	3781	6967	
386	981269	1010	3550	6705	
387	951694	926	3521	6340	
388	921830	895	3196	6185	
389	891906	855	3072	5859	
390	861387	835	3058	5528	
391	830883	815	2803	5332	
392	800190	750	2601	5004	
393	769584	664	2521	4877	
394	739434	680	2409	4694	
395	709115	630	2274	4451	
396	679315	634	2159	4130	
397	649352	621	2023	4024	
398	619910	570	1890	3804	
399	590886	551	1799	3559	
400	562516	502	1694	3378	
401	534874	451	1577	3292	
402	507810	427	1500	3060	
403	481295	452	1478	2899	
404	455447	411	1214	2702	
405	430536	422	1268	2521	
406	406608	341	1167	2318	
407	383587	302	1044	2251	
408	361287	288	987	2007	
409	340170	278	905	1878	
410	319532	260	825	1802	
411	299768	238	818	1537	
412	280572	247	707	1577	
413	262406	206	674	1425	
414	244997	179	623	1256	
415	228330	171	593	1146	
416	212809	150	542	1049	
417	198019	150	501	989	
418	183997	155	476	977	
419	170572	128	397	841	
420	157902	125	366	780	
421	145939	118	345	694	
422	134769	87	332	612	
423	124239	81	242	555	
424	114355	70	258	474	
425	105075	72	217	439	
426	96356	53	180	432	
427	88097	50	172	376	
428	80372	43	152	315	
429	73257	56	139	309	
430	66663	28	96	255	
431	60351	32	92	226	
432	54607	38	95	208	
433	49332	31	77	183	
434	44578	42	72	152	
435	40151	19	58	129	
436	36009	14	71	137	
437	32281	22	52	113	
438	28865	22	39	96	
439	25817	13	35	80	
440	23022	10	28	55	
441	20419	15	24	72	
442	18152	9	16	50	
443	15995	8	16	40	
444	14093	5	8	44	
445	12467	8	25	30	
446	10957	4	15	34	
447	9619	2	7	21	
448	8487	2	15	14	
449	7458	3	12	18	
450	6528	0	5	12	
451	5762	3	4	21	
452	5077	2	6	1	
453	4476	2	3	6	
454	3946	1	3	7	
455	3506	0	3	9	
456	3104	0	0	6	
457	2747	0	0	6	
458	2416	0	2	9	
459	2170	0	1	3	
460	1955	0	4	5	
461	1768	0	1	0	
462	1621	0	1	6	
463	1498	0	2	4	
464	1360	0	1	2	
465	1270	0	0	7	
466	1191	0	3	6	
467	1119	2	1	3	
468	1048	0	0	2	
469	982	1	0	4	
470	916	0	1	1	
471	868	1	0	4	
472	818	0	2	1	
473	774	0	1	1	
474	734	3	0	1	
475	692	0	2	1	
476	655	0	2	3	
477	626	0	0	3	
478	594	0	1	0	
479	569	0	0	0	
480	541	0	0	1	
481	519	0	0	1	
482	485	0	0	0	
483	449	0	1	0	
484	431	0	1	1	
485	409	0	1	0	
486	390	0	0	1	
487	361	0	0	0	
488	326	0	0	0	
489	311	1	0	0	
490	294	0	0	0	
491	275	0	0	0	
492	261	0	0	0	
493	243	0	0	1	
494	232	0	0	1	
495	215	1	0	0	
496	205	0	0	0	
497	197	0	0	0	
498	192	0	0	0	
499	184	0	0	0	
500	174	0	0	0	
501	170	0	0	0	
502	164	0	0	0	
503	156	0	0	0	
504	151	0	0	0	
505	142	0	0	0	
506	135	0	0	0	
507	130	0	0	0	
508	123	0	0	0	
509	116	0	0	0	
510	110	0	0	0	
511	104	0	0	0	
512	95	0	0	0	
513	92	0	0	0	
514	87	0	0	0	
515	86	0	0	0	
516	81	0	0	0	
517	77	0	0	0	
518	71	0	0	0	
519	69	0	0	0	
520	67	0	0	0	
521	63	0	0	0	
522	60	0	0	0	
523	55	0	0	0	
