offset	total	subst	del	ins
265	157682	10	20	9	
266	140966	4	15	15	
267	125098	7	16	9	
268	110067	5	14	6	
269	96407	9	11	12	
270	83417	7	3	10	
271	71614	5	6	6	
272	60853	3	6	4	
273	51322	1	2	3	
274	42880	2	5	1	
275	35560	1	1	3	
276	29260	1	1	4	
277	23908	2	1	1	
278	19382	1	0	1	
279	15457	0	0	1	
280	12295	0	0	1	
281	9748	2	0	2	
282	7733	0	0	2	
283	6057	1	0	0	
284	4816	0	0	0	
285	3819	1	3	0	
286	3022	1	0	2	
287	2412	2	0	0	
288	1989	0	0	0	
289	1646	0	0	0	
290	1380	0	0	0	
291	1161	0	0	0	
292	976	0	0	0	
293	844	0	0	0	
294	732	0	0	0	
295	652	0	0	0	
296	576	0	0	0	
297	511	0	0	0	
298	457	0	0	0	
299	422	0	0	0	
300	369	0	0	0	
301	336	0	0	0	
302	304	0	0	0	
303	275	0	0	0	
304	242	0	0	0	
305	220	0	0	0	
306	198	0	0	0	
307	173	0	0	0	
308	153	0	0	0	
309	146	0	0	0	
310	137	0	0	0	
311	126	0	0	0	
312	121	0	1	0	
313	116	0	0	0	
314	108	0	0	0	
315	99	0	0	0	
316	90	0	0	0	
317	85	0	0	0	
318	79	0	0	0	
319	75	0	0	0	
320	72	0	0	0	
321	66	0	0	0	
322	63	0	0	0	
323	62	0	0	0	
324	61	0	0	0	
325	59	0	0	0	
326	55	0	0	0	
327	54	0	0	0	
328	51	0	0	0	
329	51	0	0	0	
330	49	0	0	0	
331	49	0	0	0	
332	48	0	0	0	
333	47	0	0	0	
334	47	0	0	0	
335	47	0	0	0	
336	45	0	0	0	
337	45	0	0	0	
338	43	0	0	0	
339	43	0	0	0	
340	43	0	0	0	
341	42	0	0	0	
342	41	0	0	0	
343	40	0	0	0	
344	37	0	0	0	
345	37	0	0	0	
346	36	0	0	0	
347	34	0	0	0	
348	33	0	0	0	
349	33	0	0	0	
350	32	0	0	0	
351	31	0	0	0	
352	30	0	0	0	
353	29	0	0	0	
354	29	0	0	0	
355	26	0	0	0	
356	25	0	0	0	
357	22	0	0	0	
358	18	0	0	0	
359	17	0	0	0	
360	15	0	0	0	
361	13	0	0	0	
362	11	0	0	0	
363	11	0	0	0	
364	7	0	0	0	
365	5	0	0	0	
366	5	0	0	0	
367	4	0	0	0	
368	3	0	0	0	
369	3	0	0	0	
370	2	0	0	0	
371	2	0	0	0	
372	1	0	0	0	
373	1	0	0	0	
374	1	0	0	0	
375	1	0	0	0	
376	1	0	0	0	
377	1	0	0	0	
378	1	0	0	0	
