offset	total	subst	del	ins
249	361836	207	739	842	
250	361139	205	790	774	
251	360448	215	749	791	
252	359734	201	700	857	
253	359050	187	663	821	
254	358359	239	732	787	
255	357668	195	714	816	
256	356964	207	714	802	
257	356272	212	700	883	
258	355558	220	679	821	
259	354787	228	665	863	
260	354093	224	692	817	
261	353427	216	670	833	
262	352733	257	666	861	
263	352023	229	644	846	
264	351297	228	654	839	
265	350543	233	608	837	
266	349802	187	608	855	
267	349119	200	670	874	
268	348420	211	648	866	
269	347684	206	640	871	
270	346970	205	659	916	
271	346259	222	675	836	
272	345505	202	636	814	
273	344781	225	680	833	
274	344011	232	652	870	
275	343302	241	616	842	
276	342547	193	593	818	
277	341879	201	618	862	
278	341176	215	636	822	
279	340433	201	639	830	
280	339697	234	643	835	
281	338990	234	651	834	
282	338267	187	617	825	
283	337525	222	592	836	
284	336819	215	638	821	
285	336098	221	639	820	
286	335362	217	630	765	
287	334598	219	682	869	
288	333845	205	621	837	
289	333101	227	623	813	
290	332325	210	639	834	
291	331517	220	631	846	
292	330763	188	652	810	
293	330038	222	647	771	
294	329272	202	634	796	
295	328515	227	637	807	
296	327753	226	605	823	
297	326937	218	681	783	
298	326122	225	635	801	
299	325366	220	665	807	
300	324613	240	639	867	
301	323792	219	614	847	
302	322968	189	572	830	
303	322120	236	650	787	
304	321316	194	659	842	
305	320501	213	651	787	
306	319695	229	637	874	
307	318864	223	619	768	
308	318074	223	639	753	
309	317236	209	619	758	
310	316383	240	694	824	
311	315528	213	650	803	
312	314687	212	666	849	
313	313832	230	635	835	
314	312941	238	662	829	
315	312080	203	682	757	
316	311232	218	655	811	
317	310373	220	651	802	
318	309537	204	645	824	
319	308655	193	694	840	
320	307777	208	665	775	
321	306850	206	649	824	
322	305957	231	651	769	
323	305084	242	640	858	
324	304201	197	644	770	
325	303256	214	644	844	
326	302346	200	643	831	
327	301377	196	704	818	
328	300438	193	651	778	
329	299540	203	662	808	
330	298624	196	670	775	
331	297685	240	662	876	
332	296735	203	673	798	
333	295720	203	629	806	
334	294727	184	627	807	
335	293750	184	663	805	
336	292718	237	636	781	
337	291757	217	638	819	
338	290754	210	677	858	
339	289696	211	643	817	
340	288688	225	669	800	
341	287685	193	662	802	
342	286584	221	706	835	
343	285494	221	629	806	
344	284453	215	621	785	
345	283398	196	617	831	
346	282286	230	663	826	
347	281168	217	649	793	
348	280084	217	615	822	
349	278967	207	615	812	
350	277829	222	675	820	
351	276677	220	651	828	
352	275467	225	684	825	
353	274310	238	616	820	
354	273174	205	651	838	
355	272025	212	630	802	
356	270764	222	641	792	
357	269510	191	622	831	
358	268167	177	611	812	
359	266819	190	579	844	
