offset	total	subst	del	ins
265	346579	12	81	28	
266	345865	13	66	27	
267	345138	15	103	26	
268	344448	13	97	25	
269	343740	13	85	38	
270	343009	13	70	27	
271	342242	17	90	25	
272	341495	15	102	24	
273	340750	18	91	39	
274	340028	17	75	34	
275	339358	14	80	36	
276	338645	21	75	36	
277	337944	11	83	32	
278	337213	17	83	43	
279	336459	14	74	20	
280	335703	19	81	24	
281	334992	14	76	34	
282	334282	17	88	30	
283	333599	13	86	33	
284	332847	11	76	24	
285	332077	23	74	34	
286	331327	15	74	27	
287	330567	14	93	31	
288	329779	18	99	27	
289	328969	7	76	26	
290	328173	19	94	27	
291	327432	13	89	33	
292	326636	11	101	29	
293	325885	14	78	28	
294	325137	8	84	22	
295	324335	13	73	32	
296	323541	15	92	31	
297	322752	12	102	31	
298	321972	8	88	37	
299	321215	16	82	33	
300	320416	14	69	30	
301	319577	13	83	30	
302	318749	13	62	24	
303	317921	15	74	32	
304	317066	13	78	43	
305	316204	13	88	27	
306	315363	14	78	25	
307	314534	12	70	20	
308	313701	9	73	34	
309	312856	21	84	27	
310	312005	15	90	27	
311	311137	19	84	30	
312	310298	16	84	24	
313	309403	14	84	25	
314	308556	18	53	28	
315	307658	18	72	31	
316	306776	19	90	35	
317	305858	10	84	34	
318	304984	14	88	24	
319	304071	13	79	25	
320	303179	10	73	29	
321	302316	13	77	26	
322	301378	13	79	31	
323	300431	14	79	24	
324	299497	16	72	28	
325	298534	18	69	31	
326	297620	15	62	22	
327	296607	13	55	28	
328	295664	23	79	24	
329	294683	20	73	33	
330	293681	6	75	29	
331	292676	12	75	32	
332	291717	8	82	21	
333	290718	16	73	27	
334	289678	15	54	28	
335	288659	17	81	22	
336	287691	15	84	33	
337	286665	16	55	32	
338	285630	12	74	35	
339	284537	15	76	32	
340	283456	14	69	25	
341	282439	15	73	27	
342	281337	12	80	25	
343	280228	17	93	23	
344	279109	11	65	31	
345	277953	13	49	28	
346	276839	18	79	30	
347	275676	13	71	26	
348	274425	14	62	29	
349	273253	13	60	43	
350	272010	15	73	29	
351	270816	23	82	28	
352	269578	14	75	22	
353	268399	18	61	25	
354	267208	8	60	22	
355	265892	9	63	29	
356	264538	15	65	19	
357	263149	9	59	33	
358	261776	14	70	18	
359	260316	13	53	26	
360	258774	18	71	34	
361	257272	13	57	16	
362	255697	13	55	30	
363	254069	13	50	24	
364	252412	6	56	19	
365	250731	16	39	20	
366	248882	12	46	25	
367	246940	11	58	17	
368	244982	11	64	11	
369	242888	12	59	22	
370	240619	10	46	16	
371	238304	10	46	24	
372	235900	7	39	17	
373	233314	11	47	21	
374	230582	4	43	18	
375	227635	15	56	19	
376	224448	7	39	15	
377	221080	9	43	8	
378	217604	7	42	24	
379	213908	9	37	17	
380	209919	8	25	3	
381	205796	8	34	9	
382	201407	4	32	9	
383	196901	8	24	16	
384	192103	4	36	5	
385	187116	7	19	14	
386	181925	5	15	11	
387	176598	5	22	5	
388	171053	5	27	8	
389	165505	7	12	6	
390	159924	2	19	7	
391	154225	3	15	5	
392	148495	1	18	4	
393	142730	7	25	8	
394	136996	1	9	5	
395	131287	1	11	5	
396	125648	3	7	5	
397	119930	2	12	2	
398	114262	2	11	4	
399	108703	3	8	3	
400	103316	3	10	1	
401	97985	3	6	3	
402	92922	1	8	3	
403	87799	0	9	1	
404	82821	2	6	1	
405	77977	0	6	1	
406	73237	2	4	1	
407	68735	3	5	2	
408	64196	0	3	1	
409	59981	1	2	0	
410	55922	2	1	1	
411	52025	1	2	3	
412	48206	0	1	1	
413	44378	1	2	0	
414	40854	0	1	0	
415	37478	0	2	1	
416	34289	0	0	1	
417	31165	0	1	0	
418	28223	0	2	0	
419	25390	0	0	0	
420	22811	0	2	0	
421	20352	0	2	0	
422	17985	0	1	0	
423	15833	0	0	0	
424	13859	0	1	0	
425	12072	1	1	0	
426	10357	0	1	0	
427	8830	0	0	0	
428	7471	0	0	0	
429	6311	0	0	0	
430	5271	0	0	0	
431	4346	0	0	0	
432	3582	0	0	0	
433	2908	0	0	0	
434	2355	0	0	0	
435	1882	0	0	0	
436	1478	0	0	1	
437	1179	0	0	0	
438	929	0	0	0	
439	728	0	0	0	
440	571	0	0	0	
441	441	0	0	0	
442	348	0	0	0	
443	277	0	0	0	
444	216	0	0	0	
445	172	0	0	0	
446	137	0	0	0	
447	108	0	0	0	
448	91	0	0	0	
449	78	0	0	0	
450	68	0	0	0	
451	60	0	0	0	
452	48	0	0	0	
453	46	0	0	0	
454	42	0	0	0	
455	41	0	0	0	
456	39	0	0	0	
457	39	0	0	0	
458	36	0	0	0	
459	33	0	0	0	
460	32	0	0	0	
461	32	0	0	0	
462	31	0	0	0	
463	31	0	0	0	
464	28	0	0	0	
465	25	0	0	0	
466	25	0	0	0	
467	25	0	0	0	
468	23	0	0	0	
469	21	0	0	0	
470	21	0	0	0	
471	18	0	0	0	
472	16	0	0	0	
473	16	0	0	0	
474	15	0	0	0	
475	14	0	0	0	
476	14	0	0	0	
477	14	0	0	0	
478	12	0	0	0	
479	12	0	0	0	
480	12	0	0	0	
481	11	0	0	0	
482	10	0	0	0	
483	9	0	0	0	
484	9	0	0	0	
485	9	0	0	0	
486	9	0	0	0	
487	8	0	0	0	
488	8	0	0	0	
489	7	0	0	0	
490	7	0	0	0	
491	7	0	0	0	
492	7	0	0	0	
493	7	0	0	0	
494	7	0	0	0	
495	6	0	0	0	
496	6	0	0	0	
497	6	0	0	0	
498	6	0	0	0	
499	6	0	0	0	
500	6	0	0	0	
501	6	0	0	0	
502	6	0	0	0	
503	6	0	0	0	
504	6	0	0	0	
505	6	0	0	0	
506	6	0	0	0	
507	6	0	0	0	
508	6	0	0	0	
509	6	0	0	0	
510	6	0	0	0	
511	6	0	0	0	
512	5	0	0	0	
513	5	0	0	0	
514	5	0	0	0	
515	4	0	0	0	
516	3	0	0	0	
517	3	0	0	0	
518	3	0	0	0	
519	3	0	0	0	
520	3	0	0	0	
521	3	0	0	0	
522	3	0	0	0	
523	3	0	0	0	
524	2	0	0	0	
525	2	0	0	0	
526	2	0	0	0	
527	2	0	0	0	
528	2	0	0	0	
529	2	0	0	0	
530	2	0	0	0	
531	2	0	0	0	
532	2	0	0	0	
533	2	0	0	0	
534	2	0	0	0	
535	2	0	0	0	
536	2	0	0	0	
537	2	0	0	0	
538	2	0	0	0	
539	2	0	0	0	
540	2	0	0	0	
541	2	0	0	0	
542	2	0	0	0	
543	2	0	0	0	
544	2	0	0	0	
545	2	0	0	0	
546	2	0	0	0	
547	2	0	0	0	
548	2	0	0	0	
549	2	0	0	0	
550	2	0	0	0	
551	2	0	0	0	
552	2	0	0	0	
553	2	0	0	0	
554	2	0	0	0	
555	2	0	0	0	
556	1	0	0	0	
557	1	0	0	0	
558	1	0	0	0	
559	1	0	0	0	
560	1	0	0	0	
561	1	0	0	0	
562	1	0	0	0	
563	1	0	0	0	
564	1	0	0	0	
565	1	0	0	0	
566	1	0	0	0	
567	1	0	0	0	
