offset	total	subst	del	ins
0	1470223	0	0	0	
1	1470223	0	0	0	
2	1470223	0	0	0	
3	1470223	0	0	0	
4	1470223	100	0	0	
5	1470223	94	0	0	
6	1470223	87	0	0	
7	1470223	99	0	0	
8	1470223	75	212	7	
9	1470223	104	324	10	
10	1470223	122	385	10	
11	1470223	148	389	16	
12	1470223	198	384	13	
13	1470223	269	365	20	
14	1470223	325	438	21	
15	1470223	394	435	29	
16	1470223	533	453	41	
17	1470223	593	460	45	
18	1470223	683	409	55	
19	1470223	726	476	83	
20	1470223	742	550	82	
21	1470223	814	527	119	
22	1470223	836	502	116	
23	1470223	750	475	159	
24	1470223	620	523	150	
25	1470223	566	545	137	
26	1470223	462	553	143	
27	1470223	393	553	185	
28	1470223	268	504	151	
29	1470223	181	495	133	
30	1470142	167	529	153	
31	1470063	170	536	205	
32	1469990	163	523	177	
33	1469920	177	529	192	
34	1469838	160	564	216	
35	1469759	188	556	210	
36	1469693	171	562	237	
37	1469638	197	553	249	
38	1469552	158	564	236	
39	1469472	196	639	240	
40	1469375	196	613	267	
41	1469292	193	581	288	
42	1469193	231	566	308	
43	1469085	219	624	275	
44	1468965	200	572	255	
45	1468844	207	547	308	
46	1468740	209	610	289	
47	1468589	195	634	303	
48	1468410	191	580	331	
49	1468212	211	611	331	
50	1468020	231	565	308	
51	1467782	269	610	325	
52	1467540	249	628	319	
53	1467258	237	611	348	
54	1466969	246	645	323	
55	1466647	272	641	345	
56	1466286	253	622	320	
57	1465869	254	644	346	
58	1465509	296	621	354	
59	1465084	274	589	367	
60	1464605	288	696	337	
61	1464126	270	622	359	
62	1463594	251	596	395	
63	1463046	301	616	353	
64	1462428	261	612	386	
65	1461757	298	665	377	
66	1460998	311	625	364	
67	1460211	340	662	381	
68	1459285	339	662	435	
69	1458257	333	649	407	
70	1457191	361	651	405	
71	1455921	321	695	383	
72	1454554	338	657	423	
73	1453058	372	630	388	
74	1451478	365	669	363	
75	1449598	384	626	390	
76	1447574	353	677	379	
77	1445359	385	598	435	
78	1442918	382	641	428	
79	1440126	421	658	478	
80	1437080	378	630	424	
81	1433766	379	613	458	
82	1430066	397	667	443	
83	1426037	419	634	421	
84	1421538	423	609	406	
85	1416626	433	713	426	
86	1411344	450	656	408	
87	1405364	380	631	415	
88	1398831	442	653	454	
89	1391696	468	605	427	
90	1383832	425	620	474	
91	1375243	443	620	455	
92	1365927	455	668	473	
93	1355864	445	633	446	
94	1344793	501	669	443	
95	1332765	455	597	422	
96	1319850	460	603	442	
97	1305937	456	587	411	
98	1290930	506	596	440	
99	1274264	476	538	463	
100	1256463	466	525	423	
101	1237546	482	530	447	
102	1216894	467	526	392	
103	1194624	467	529	450	
104	1171069	447	527	457	
105	1145306	443	493	424	
106	1117864	436	466	425	
107	1088685	404	427	398	
108	1057456	426	442	372	
109	1024462	369	433	388	
110	989467	365	392	357	
111	951594	317	343	354	
112	912443	343	314	317	
113	870601	308	315	305	
114	826349	288	306	288	
115	780871	220	256	269	
116	733212	229	236	244	
117	684123	244	217	236	
118	634676	200	210	204	
119	584985	179	157	174	
120	535283	154	158	163	
121	486516	151	114	156	
122	439392	123	100	114	
123	393606	107	80	108	
124	350250	104	74	88	
125	309478	92	64	70	
126	271702	63	44	67	
127	237186	58	37	51	
128	205713	45	35	52	
129	177740	48	34	35	
130	153269	25	27	30	
131	131848	21	13	20	
132	113532	22	11	17	
133	97799	17	7	15	
134	84745	13	10	15	
135	73875	10	6	9	
136	64879	8	2	8	
137	57420	6	1	9	
138	51352	2	3	1	
139	46516	7	2	3	
140	42589	3	0	3	
141	39464	1	0	3	
142	36735	2	2	1	
143	34608	0	0	2	
144	32827	1	0	0	
145	31341	2	0	2	
146	30041	1	0	0	
147	28976	0	1	0	
148	28037	0	0	0	
149	27219	0	0	0	
150	26440	1	0	0	
151	25678	0	0	0	
152	25029	0	0	0	
153	24365	0	0	0	
154	23681	0	0	0	
155	23068	1	0	0	
156	22512	0	0	0	
157	21952	1	0	0	
158	21416	0	0	0	
159	20873	0	0	0	
160	20343	0	0	0	
161	19812	0	0	0	
162	19269	0	0	0	
163	18697	0	0	0	
164	18173	0	0	0	
165	17623	0	0	0	
166	17088	0	0	0	
167	16507	0	0	0	
168	15979	0	0	0	
169	15438	0	0	0	
170	14919	0	0	0	
171	14347	0	0	0	
172	13777	0	0	0	
173	13195	0	0	0	
174	12642	0	0	0	
175	12046	0	0	0	
176	11427	0	0	0	
177	10737	0	0	0	
178	10078	0	0	0	
179	9376	0	0	0	
180	8652	0	0	0	
181	7908	0	0	0	
182	7129	0	0	0	
183	6400	0	0	0	
184	5687	0	0	0	
185	4941	0	0	0	
186	4212	0	0	0	
187	3593	0	0	0	
188	2924	0	0	0	
189	2362	0	0	0	
190	1899	0	0	0	
191	1494	0	0	0	
192	1131	0	0	0	
193	851	0	0	0	
194	630	0	0	0	
195	429	0	0	0	
196	297	0	0	0	
197	198	0	0	0	
198	122	0	0	0	
199	73	0	0	0	
200	46	0	0	0	
201	21	0	0	0	
202	8	0	0	0	
203	2	0	0	0	
204	1	0	0	0	
