offset	total	subst	del	ins
0	3177500	0	0	0	
1	3177500	0	0	0	
2	3177500	0	0	0	
3	3177500	0	0	0	
4	3177500	102	0	0	
5	3177500	113	0	0	
6	3177500	96	1	0	
7	3177500	104	0	0	
8	3177500	113	659	381	
9	3177500	142	898	446	
10	3177500	223	1215	371	
11	3177500	270	1195	415	
12	3177500	287	1175	462	
13	3177500	247	1246	593	
14	3177500	267	1215	701	
15	3177500	262	1207	755	
16	3177500	260	1157	715	
17	3177500	304	1223	728	
18	3177500	360	1183	647	
19	3177500	386	1209	755	
20	3177500	486	1235	719	
21	3177500	497	1257	712	
22	3177500	499	1226	787	
23	3177500	545	1241	739	
24	3177500	560	1230	732	
25	3177500	421	1327	738	
26	3177500	339	1251	732	
27	3177500	305	1285	712	
28	3177500	184	1375	743	
29	3177500	92	1273	730	
30	3170540	103	1367	741	
31	3163553	78	1483	725	
32	3156685	81	1505	771	
33	3150067	65	1418	776	
34	3143624	74	1430	809	
35	3137179	55	1488	756	
36	3130900	71	1441	759	
37	3124771	53	1494	740	
38	3118666	55	1487	667	
39	3112578	48	1522	764	
40	3106527	45	1476	737	
41	3100460	54	1514	646	
42	3094519	49	1522	708	
43	3088415	56	1569	691	
44	3082459	59	1492	788	
45	3076305	46	1571	672	
46	3070240	45	1496	700	
47	3063891	57	1618	786	
48	3057549	47	1565	727	
49	3051098	41	1586	724	
50	3044649	39	1439	678	
51	3038032	50	1521	704	
52	3031458	57	1459	661	
53	3024803	52	1614	695	
54	3018103	53	1523	671	
55	3011362	55	1584	716	
56	3004470	49	1544	700	
57	2997545	40	1571	732	
58	2990591	44	1638	751	
59	2983681	54	1544	682	
60	2976697	44	1494	720	
61	2969600	57	1563	713	
62	2962553	52	1468	703	
63	2955298	54	1535	730	
64	2948211	43	1580	698	
65	2940951	46	1565	666	
66	2933488	52	1538	716	
67	2926231	54	1505	700	
68	2918860	56	1577	654	
69	2911408	57	1572	684	
70	2903887	54	1670	674	
71	2896121	58	1589	699	
72	2888434	55	1563	626	
73	2880684	42	1594	671	
74	2872936	51	1505	633	
75	2864954	35	1553	709	
76	2856924	60	1648	648	
77	2848726	39	1558	649	
78	2840645	58	1600	653	
79	2832538	57	1574	647	
80	2824035	56	1528	634	
81	2815804	56	1603	635	
82	2807370	46	1595	622	
83	2798955	54	1584	638	
84	2790438	46	1567	654	
85	2781744	47	1543	634	
86	2773211	49	1573	617	
87	2764579	67	1667	658	
88	2755909	61	1586	621	
89	2747204	49	1553	623	
90	2738391	53	1551	634	
91	2729554	74	1567	608	
92	2720653	67	1536	609	
93	2711556	59	1504	616	
94	2702569	56	1535	623	
95	2693534	56	1517	607	
96	2684383	59	1559	642	
97	2675299	38	1564	601	
98	2666098	48	1575	605	
99	2656931	45	1563	572	
100	2647479	42	1597	620	
101	2638229	38	1565	556	
102	2628846	66	1548	615	
103	2619339	49	1523	594	
104	2609702	51	1620	591	
105	2600088	46	1577	549	
106	2590268	49	1510	567	
107	2580502	59	1561	608	
108	2570564	50	1450	557	
109	2560577	55	1444	584	
110	2550458	53	1507	590	
111	2540321	51	1514	546	
112	2530092	48	1456	559	
113	2519703	57	1496	575	
114	2509252	56	1538	568	
