offset	total	subst	del	ins
265	347489	24	93	49	
266	346770	18	72	50	
267	346032	25	110	51	
268	345341	22	101	39	
269	344640	21	95	64	
270	343919	24	73	46	
271	343183	27	95	46	
272	342421	22	109	55	
273	341694	28	98	50	
274	340959	25	79	62	
275	340270	23	89	53	
276	339572	30	87	51	
277	338880	22	91	56	
278	338176	22	92	72	
279	337429	23	78	41	
280	336693	27	84	45	
281	335976	18	88	53	
282	335262	30	93	49	
283	334603	18	94	51	
284	333822	25	87	50	
285	333073	29	79	55	
286	332334	28	81	54	
287	331594	32	103	52	
288	330835	33	106	48	
289	330012	18	81	49	
290	329235	23	102	43	
291	328501	20	100	50	
292	327737	18	114	50	
293	326993	22	87	53	
294	326244	14	94	45	
295	325434	18	77	49	
296	324636	24	101	50	
297	323874	19	110	52	
298	323098	20	97	65	
299	322357	24	92	54	
300	321532	26	79	58	
301	320717	26	89	48	
302	319883	23	68	40	
303	319093	19	79	68	
304	318254	23	86	75	
305	317428	27	95	44	
306	316600	29	84	52	
307	315765	25	77	51	
308	314923	23	85	60	
309	314089	32	94	51	
310	313268	30	102	54	
311	312427	34	87	62	
312	311562	31	88	47	
313	310685	27	90	52	
314	309857	28	65	59	
315	308985	28	81	73	
316	308134	36	103	54	
317	307226	21	92	62	
318	306389	24	95	46	
319	305485	27	89	47	
320	304584	22	88	54	
321	303715	36	84	52	
322	302792	30	89	58	
323	301871	26	93	47	
324	300935	28	81	53	
325	300011	33	81	58	
326	299094	31	74	50	
327	298109	27	67	53	
328	297200	35	91	54	
329	296248	38	85	62	
330	295261	20	83	64	
331	294304	16	86	59	
332	293333	25	96	43	
333	292380	29	82	56	
334	291332	27	61	51	
335	290321	25	95	57	
336	289345	24	97	57	
337	288351	30	62	71	
338	287339	22	84	70	
339	286308	26	87	66	
340	285256	31	80	47	
341	284199	27	80	70	
342	283102	29	99	51	
343	282009	36	102	64	
344	280908	28	80	61	
345	279799	36	57	56	
346	278727	33	92	62	
347	277621	34	82	55	
348	276460	39	74	66	
