offset	total	subst	del	ins
0	3165899	0	0	0	
1	3165899	0	0	0	
2	3165899	0	0	0	
3	3165899	0	0	0	
4	3165899	438	0	0	
5	3165899	534	0	0	
6	3165899	594	0	0	
7	3165899	683	5	0	
8	3165899	811	1289	3801	
9	3165899	929	1358	4152	
10	3165899	1012	1818	4407	
11	3165899	1119	1798	5072	
12	3165899	1033	1701	5815	
13	3165899	924	1780	6280	
14	3165899	965	1841	6572	
15	3165899	971	1878	6178	
16	3165899	1011	1768	5987	
17	3165899	1159	1823	5800	
18	3165899	1332	1885	5582	
19	3165899	1512	1928	5500	
20	3165899	1563	1907	5435	
21	3165899	1551	1948	5328	
22	3165899	1575	1895	5256	
23	3165899	1594	1890	5178	
24	3165899	1453	1848	5170	
25	3165899	1355	1963	5019	
26	3165899	1209	1941	5007	
27	3165899	892	2016	4693	
28	3165899	673	2097	4882	
29	3165899	501	2056	4844	
30	3160987	498	2204	4992	
31	3156020	488	2254	5012	
32	3151162	437	2309	5076	
33	3146349	421	2385	4982	
34	3141533	412	2369	4974	
35	3136784	434	2453	4849	
36	3132052	424	2437	4768	
37	3127366	382	2512	4800	
38	3122685	355	2615	4766	
39	3117990	385	2487	4687	
40	3113195	392	2531	4730	
41	3108273	418	2669	4635	
42	3103136	394	2729	4855	
43	3098049	379	2697	4846	
44	3092898	390	2662	4903	
45	3087659	395	2703	4827	
46	3082286	408	2660	5131	
47	3076880	404	2713	4998	
48	3071397	384	2678	5080	
49	3065616	353	2717	5255	
50	3059728	399	2660	5180	
51	3053856	407	2693	5246	
52	3047788	378	2779	5306	
53	3041771	384	2851	5388	
54	3035698	417	2793	5396	
55	3029349	382	2844	5551	
56	3023044	408	2825	5542	
57	3016475	398	2869	5682	
58	3009955	444	2975	5648	
59	3003446	421	2876	5693	
60	2996764	405	2822	5726	
61	2989986	433	2962	5716	
62	2983279	418	2923	5829	
63	2976543	405	2922	5855	
64	2969668	425	3064	5946	
65	2962593	412	3125	5886	
66	2955589	394	2990	5939	
67	2948507	429	3077	5871	
68	2941381	412	3090	5904	
69	2934302	435	3117	5823	
70	2927035	460	3124	5965	
71	2919507	423	3145	5835	
72	2912028	422	3028	5971	
73	2904611	436	3204	5719	
74	2897019	439	3151	5885	
75	2889407	435	3110	5992	
76	2881605	431	3251	5955	
77	2873663	435	3203	6080	
78	2865569	439	3189	6101	
79	2857528	481	3281	6074	
80	2849480	422	3171	6172	
81	2841100	474	3302	6258	
82	2832898	469	3259	6223	
83	2824480	460	3297	6249	
