offset	total	subst	del	ins
0	2354721	0	0	0	
1	2354721	0	0	0	
2	2354721	0	0	0	
3	2354721	0	0	0	
4	2354721	80	0	0	
5	2354721	61	0	0	
6	2354721	42	2	0	
7	2354721	56	1	0	
8	2354721	74	313	146	
9	2354721	71	455	106	
10	2354721	113	514	132	
11	2354721	105	568	118	
12	2354721	123	605	190	
13	2354721	138	642	190	
14	2354721	122	654	204	
15	2354721	128	650	241	
16	2354721	146	624	218	
17	2354721	138	675	233	
18	2354721	167	704	194	
19	2354721	181	689	236	
20	2354721	222	706	262	
21	2354721	214	733	261	
22	2354721	237	782	257	
23	2354721	236	701	299	
24	2354721	232	689	329	
25	2354721	221	717	281	
26	2354721	169	724	274	
27	2354721	146	706	314	
28	2354721	122	724	285	
29	2354721	104	752	281	
30	2350625	138	828	349	
31	2346530	108	824	355	
32	2342480	110	925	383	
33	2338361	127	939	391	
34	2334121	120	874	406	
35	2329938	95	936	404	
36	2325630	116	1015	491	
37	2321227	98	878	403	
38	2316719	111	958	373	
39	2311970	113	992	446	
40	2307070	105	919	459	
41	2302078	122	994	420	
42	2296922	134	917	441	
43	2291688	106	954	474	
44	2286198	121	963	433	
45	2280643	120	893	493	
46	2275115	111	917	475	
47	2269547	113	999	442	
48	2263945	125	971	517	
49	2258216	122	927	464	
50	2252361	108	1005	466	
51	2246580	129	957	462	
52	2240797	117	949	470	
53	2235153	118	945	449	
54	2229342	134	990	475	
55	2223570	124	984	455	
56	2217714	138	982	425	
57	2211891	115	951	452	
58	2206180	142	999	455	
59	2200521	129	947	455	
60	2194729	119	963	430	
61	2189105	133	954	448	
62	2183554	139	951	417	
63	2177940	136	919	424	
64	2172385	123	945	419	
65	2166942	154	1012	441	
66	2161394	116	937	441	
67	2156019	123	1050	475	
68	2150643	166	1022	464	
69	2145386	137	971	451	
70	2140122	132	858	464	
71	2134815	152	995	424	
72	2129571	145	962	482	
73	2124318	132	991	468	
74	2119028	139	977	440	
75	2113981	133	979	418	
76	2108869	149	984	464	
77	2103947	129	931	490	
78	2098946	157	934	455	
79	2094010	147	1008	436	
80	2089083	138	966	433	
81	2084182	131	1003	476	
82	2079285	130	960	428	
83	2074468	128	929	453	
84	2069691	142	929	439	
85	2064881	148	940	470	
86	2060278	149	984	468	
87	2055466	142	961	491	
88	2050793	149	977	465	
89	2046129	166	958	434	
90	2041306	153	979	489	
91	2036384	118	996	505	
92	2031558	179	924	469	
93	2026537	160	1010	469	
94	2021627	171	972	482	
95	2016623	160	998	481	
96	2011748	144	997	440	
97	2006602	159	990	488	
98	2001523	171	946	504	
99	1996375	156	941	502	
100	1991217	190	973	491	
